name,position,id,location,manager,email,fill,stroke,refs,url,image
Linguistic styles: Language use as an individual difference,1999,1,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033252854&doi=10.1037%2f0022-3514.77.6.1296&partnerID=40&md5=65f30ba8ba6286d2ab33667bf03e345a,#d5e8d4,#82b366,"Differentiating document type and author personality from linguistic features,Personality and language use in self-narratives,Annotation and recognition of personality traits in spoken conversations from the AMI meetings corpus,Just the way you chat: Linking personality, style and recognizability in chats,The Online Social Self: An Open Vocabulary Approach to Personality,How do personality traits affect communication among users in online social networks?,A vectorial semantics approach to personality assessment,Statistical analysis of personality and identity in chats using a keylogging platform,Automatic personality assessment through social media language,Characterizing the personality of twitter users based on their timeline information,Assessing the Big Five personality traits with latent semantic analysis,Analyzing and preventing bias in text-based personal trait prediction algorithms,Deep Learning-Based Document Modeling for Personality Detection from Text,Estimating Personality from Social Media Posts,Modeling personality traits of Filipino Twitter users,User profiling through deep multimodal fusion,Who am I? Personality detection based on deep learning for texts,Recognition of Apparent Personality Traits from Text and Handwritten Images,Personality traits for Egyptian twitter users dataset,Personality Detection from Text using Convolutional Neural Network,Automatic Extraction of Personality from Text: Challenges and Opportunities,Automatic Text-Based Personality Recognition on Monologues and Multiparty Dialogues Using Attentive Networks and Contextual Embeddings,An OOV-Aware Curation Process for Psycholinguistic Analysis of Social Media Text - A Hybrid Approach,Evaluation of the accuracy of personality judgments based on written verbal production [Evaluacija tačnosti procena ličnosti na osnovu pisane verbalne produkcije],BREXIT: Psychometric Profiling the Political Salubrious through Machine Learning: Predicting personality traits of Boris Johnson through Twitter political text,Predicting Personality Using Answers to Open-Ended Interview Questions,Mining micro-influencers from social media posts,Knowledge of words: An interpretable approach for personality recognition from social media,Vyaktitv: A Multimodal Peer-to-Peer Hindi Conversations based Dataset for Personality Assessment,CR-Net: A Deep Classification-Regression Network for Multimodal Apparent Personality Analysis,Personality Traits Detection in Bangla: A Benchmark Dataset with Comparative Performance Analysis of State-of-the-Art Methods,A Personality Mining System for German Twitter Posts with Global Vectors Word Embedding,Psychological Human Traits Detection based on Universal Language Modeling,Regional personality assessment through social media language,",https://app.diagrams.net,
Differentiating document type and author personality from linguistic features,2006,2,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869044168&partnerID=40&md5=c53e754b14f64b266ffd15ef40b4a835,#d5e8d4,#82b366,,https://app.diagrams.net,
The geographic distribution of Big Five personality traits: Patterns and profiles of human self-description across 56 nations,2007,3,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847072282&doi=10.1177%2f0022022106297299&partnerID=40&md5=582b5f98177760604dcad5c83b07dc8f,#d5e8d4,#82b366,,https://app.diagrams.net,
Personality and language use in self-narratives,2009,4,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-64949188570&doi=10.1016%2fj.jrp.2009.01.006&partnerID=40&md5=01477348a33241efb4ba22460a75c1c5,#d5e8d4,#82b366,"The Online Social Self: An Open Vocabulary Approach to Personality,Automatic personality assessment through social media language,PT-LDA: A latent variable model to predict personality traits of social network users,Evaluation of the accuracy of personality judgments based on written verbal production [Evaluacija tačnosti procena ličnosti na osnovu pisane verbalne produkcije],Personality expression and recognition in Chinese language usage,Using Natural Language Processing to Identify Effective Influencers,",https://app.diagrams.net,
Recognition of personality traits from human spoken conversations,2011,5,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865800488&partnerID=40&md5=008c3472478fa6b940b85649dd19a17e,#d5e8d4,#82b366,"Annotation and recognition of personality traits in spoken conversations from the AMI meetings corpus,Vyaktitv: A Multimodal Peer-to-Peer Hindi Conversations based Dataset for Personality Assessment,Personality Traits Detection in Bangla: A Benchmark Dataset with Comparative Performance Analysis of State-of-the-Art Methods,",https://app.diagrams.net,
Perception of personality and naturalness through dialogues by native speakers of American English and Arabic,2011,6,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857721440&partnerID=40&md5=a45230ed8df10ece0ab824d55ad5d257,#d5e8d4,#82b366,,https://app.diagrams.net,
Predicting personality traits from spontaneous modern Greek text: Overcoming the barriers,2012,7,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870941090&doi=10.1007%2f978-3-642-33412-2_54&partnerID=40&md5=958ad5f4f6de2927bcfadc8b42d1ef9e,#d5e8d4,#82b366,,https://app.diagrams.net,
Mining low-level linguistic features from modern greek spontaneous text for the automatic recognition of authors' personality traits,2012,8,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887482437&partnerID=40&md5=dc0bdc89d23a0263778ae7efc57a54bf,#d5e8d4,#82b366,,https://app.diagrams.net,
Annotation and recognition of personality traits in spoken conversations from the AMI meetings corpus,2012,9,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878415866&partnerID=40&md5=d86e6b83db95786e0e14bfa792e355ca,#d5e8d4,#82b366,,https://app.diagrams.net,
Predicting dark triad personality traits from twitter usage and a linguistic analysis of tweets,2012,10,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873576218&doi=10.1109%2fICMLA.2012.218&partnerID=40&md5=de8ac7c27a43bd474e35c90d02ec6b45,#d5e8d4,#82b366,"A multi-label, semi-supervised classification approach applied to personality prediction in social media,Analyzing and preventing bias in text-based personal trait prediction algorithms,Automated Domain Bias Correction and Its Application in Text-Based Personality Analysis,",https://app.diagrams.net,
Improving user profile with personality traits predicted from social media content,2013,11,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887576270&doi=10.1145%2f2507157.2507219&partnerID=40&md5=e21f9379a07e5ab03c88000840b55c70,#d5e8d4,#82b366,"Exploiting turn-taking temporal evolution for personality trait perception in dyadic conversations,A methodology for creating and validating psychological stories for conveying and measuring psychological traits,New approach of measuring human personality traits using ontology-based model from social media data,",https://app.diagrams.net,
Common sense knowledge based personality recognition from text,2013,12,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893799597&doi=10.1007%2f978-3-642-45111-9_42&partnerID=40&md5=718267c80c75837a15986594d6904234,#d5e8d4,#82b366,"A multi-label, semi-supervised classification approach applied to personality prediction in social media,Modeling personality traits of Filipino Twitter users,Mining personality traits from social messages for game recommender systems,",https://app.diagrams.net,
The big five and beyond: Personality traits and their measurement2 [Wielka piątka i nie tylko. Cechy osobowos̈ci i ich pomiar1],2014,13,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937931679&partnerID=40&md5=a684e3a75cb1ee5606d3b7fcb61e017a,#d5e8d4,#82b366,,https://app.diagrams.net,
Just the way you chat: Linking personality,2014,14,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921714028&doi=10.1007%2f978-3-319-11839-0_3&partnerID=40&md5=86bd2cf59c01e0df9bd9286ab06732e4,#d5e8d4,#82b366, style and recognizability in chats,https://app.diagrams.net,
A multi-label,2014,15,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906075994&doi=10.1016%2fj.neunet.2014.05.020&partnerID=40&md5=880b053c965d4238d134ce3aadf6875f,#d5e8d4,#82b366, semi-supervised classification approach applied to personality prediction in social media,https://app.diagrams.net,
The Online Social Self: An Open Vocabulary Approach to Personality,2014,16,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900401551&doi=10.1177%2f1073191113514104&partnerID=40&md5=98833e54a49b237fa4670553d8c6231c,#d5e8d4,#82b366,,https://app.diagrams.net,
How do personality traits affect communication among users in online social networks?,2014,17,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891077270&doi=10.1108%2fOIR-06-2012-0104&partnerID=40&md5=12fc9862608dc23d63a6bc29e650d6e4,#d5e8d4,#82b366,"Semantic-enhanced sequential modeling for personality trait recognition from texts,",https://app.diagrams.net,
A vectorial semantics approach to personality assessment,2014,18,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899045844&doi=10.1038%2fsrep04761&partnerID=40&md5=13fd00bd2ab0657e3d5aa4413a46cd7b,#d5e8d4,#82b366,"Predicting Personality Traits from Social Media using Text Semantics,Predicting Personality Using Answers to Open-Ended Interview Questions,",https://app.diagrams.net,
Statistical analysis of personality and identity in chats using a keylogging platform,2014,19,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947264100&doi=10.1145%2f2663204.2663272&partnerID=40&md5=c7ed060f9835abab9178c70a8b9c8dc0,#d5e8d4,#82b366,,https://app.diagrams.net,
Automatic chinese personality recognition based on prosodic features,2015,20,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919686140&doi=10.1007%2f978-3-319-14445-0_16&partnerID=40&md5=e24e02eabb837366a63cc78882aa80eb,#d5e8d4,#82b366,,https://app.diagrams.net,
Automatic personality assessment through social media language,2015,21,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929400852&doi=10.1037%2fpspp0000020&partnerID=40&md5=1b3fc5808a95363a5793818f2d28d104,#d5e8d4,#82b366,"PT-LDA: A latent variable model to predict personality traits of social network users,Living in the Past, Present, and Future: Measuring Temporal Orientation With Language,Am I who I say I am? Unobtrusive self-representation and personality recognition on Facebook,A methodology for creating and validating psychological stories for conveying and measuring psychological traits,Personality expression and recognition in Chinese language usage,New approach of measuring human personality traits using ontology-based model from social media data,My Tweets Bring All the Traits to the Yard: Predicting Personality and Relational Traits in Online Social Networks,Regional personality assessment through social media language,",https://app.diagrams.net,
Predicting personality traits of Chinese users based on Facebook wall posts,2015,22,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975749538&doi=10.1109%2fWOCC.2015.7346106&partnerID=40&md5=abbfd594cc07bcba916ad21117570a72,#d5e8d4,#82b366,"Deep learning-based personality recognition from text posts of online social networks,Personality expression and recognition in Chinese language usage,",https://app.diagrams.net,
Characterizing the personality of twitter users based on their timeline information,2016,23,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047102446&doi=10.18803%2fcapsi.v16.292-299&partnerID=40&md5=317ae35617dc34997e043b4f5469ea5f,#d5e8d4,#82b366,,https://app.diagrams.net,
Exploiting turn-taking temporal evolution for personality trait perception in dyadic conversations,2016,24,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962799454&doi=10.1109%2fTASLP.2016.2531286&partnerID=40&md5=a1bf06cb05e816c1204a19cded02ca84,#d5e8d4,#82b366,"Mining micro-influencers from social media posts,",https://app.diagrams.net,
PT-LDA: A latent variable model to predict personality traits of social network users,2016,25,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991213169&doi=10.1016%2fj.neucom.2015.10.144&partnerID=40&md5=b9175fb8b06a23b2f8104f272fb28c63,#d5e8d4,#82b366,,https://app.diagrams.net,
Assessing the Big Five personality traits with latent semantic analysis,2016,26,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978698471&doi=10.1016%2fj.paid.2016.07.010&partnerID=40&md5=55f801b746f3ae9eab26e9502a1a081e,#d5e8d4,#82b366,,https://app.diagrams.net,
VirtualIdentity: Privacy preserving user profiling,2016,27,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006801833&doi=10.1109%2fASONAM.2016.7752438&partnerID=40&md5=aaf860b344c2d2aa5713221679fa7347,#d5e8d4,#82b366,,https://app.diagrams.net,
Analyzing and preventing bias in text-based personal trait prediction algorithms,2017,28,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013635887&doi=10.1109%2fICTAI.2016.0160&partnerID=40&md5=c5c3905d81a8c26560061b025ff850be,#d5e8d4,#82b366,"Automated Domain Bias Correction and Its Application in Text-Based Personality Analysis,A Personality Mining System for German Twitter Posts with Global Vectors Word Embedding,",https://app.diagrams.net,
Beyond the words: Predicting user personality from heterogeneous information,2017,29,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015294045&doi=10.1145%2f3018661.3018717&partnerID=40&md5=3f39cc14fcc179418050df6d5d3f4115,#d5e8d4,#82b366,"User profiling through deep multimodal fusion,Who am I? Personality detection based on deep learning for texts,Predicting Personality Traits from Social Media using Text Semantics,New approach of measuring human personality traits using ontology-based model from social media data,",https://app.diagrams.net,
Deep Learning-Based Document Modeling for Personality Detection from Text,2017,30,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017176110&doi=10.1109%2fMIS.2017.23&partnerID=40&md5=f664ffa9ceca5aecc55f0de31b087fd8,#d5e8d4,#82b366,"Personality Assessment Using Social Media for Hiring Candidates,Multilingual transformer-based personality traits estimation,Semantic-enhanced sequential modeling for personality trait recognition from texts,",https://app.diagrams.net,
Living in the Past,2017,31,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959312513&doi=10.1111%2fjopy.12239&partnerID=40&md5=809e939c54290077f57bac90c15ac0f7,#d5e8d4,#82b366, Present,https://app.diagrams.net,
Am I who I say I am? Unobtrusive self-representation and personality recognition on Facebook,2017,32,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029599524&doi=10.1371%2fjournal.pone.0184417&partnerID=40&md5=d182c5805dca17c34ae0940262a036b4,#d5e8d4,#82b366,,https://app.diagrams.net,
Automated Domain Bias Correction and Its Application in Text-Based Personality Analysis,2017,33,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032879681&doi=10.1142%2fS0218213017600235&partnerID=40&md5=28de150ddd01591f672161d93f4cb2dd,#d5e8d4,#82b366,,https://app.diagrams.net,
Estimating Personality from Social Media Posts,2017,34,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044094868&doi=10.1109%2fICDMW.2017.51&partnerID=40&md5=5595a643b42d5b338c5858e36e1fa396,#d5e8d4,#82b366,,https://app.diagrams.net,
Modeling personality traits of Filipino Twitter users,2018,35,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068595126&partnerID=40&md5=dde745bea2b828c12ca3c63166398d90,#d5e8d4,#82b366,,https://app.diagrams.net,
The big five: Discovering linguistic characteristics that typify distinct personality traits across Yahoo! answers members,2018,36,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055576719&doi=10.13053%2fCyS-22-3-2752&partnerID=40&md5=ff2b272424fd28f1229b277f963bc9ed,#d5e8d4,#82b366,,https://app.diagrams.net,
Personality Recognition from Facebook Text,2018,37,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053936288&doi=10.1007%2f978-3-319-99722-3_11&partnerID=40&md5=c7a2319a3b33940628d4d184b170a17d,#d5e8d4,#82b366,,https://app.diagrams.net,
User profiling through deep multimodal fusion,2018,38,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046903124&doi=10.1145%2f3159652.3159691&partnerID=40&md5=77d92a0e7127fe84e2c070a61e181287,#d5e8d4,#82b366,,https://app.diagrams.net,
Who am I? Personality detection based on deep learning for texts,2018,39,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051441492&doi=10.1109%2fICC.2018.8422105&partnerID=40&md5=cc713864e84aef443e2f560686e045a2,#d5e8d4,#82b366,,https://app.diagrams.net,
Personality Traits Analysis from Facebook Data,2018,40,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053446706&doi=10.1109%2fICSEC.2017.8443932&partnerID=40&md5=626520501c22064150c9ff2c926e66f2,#d5e8d4,#82b366,,https://app.diagrams.net,
Deep learning-based personality recognition from text posts of online social networks,2018,41,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048043549&doi=10.1007%2fs10489-018-1212-4&partnerID=40&md5=d7ec73d30f5ce3abace05ad13ca2dd6d,#d5e8d4,#82b366,"Personality traits for Egyptian twitter users dataset,Multi-label personality trait identification from text,",https://app.diagrams.net,
Personality Facets Recognition from Text,2019,42,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072841454&doi=10.1007%2f978-3-030-28577-7_15&partnerID=40&md5=0afea6da7722599044b179cc7c98306f,#d5e8d4,#82b366,,https://app.diagrams.net,
Predicting personality using facebook status based on semi-supervised learning,2019,43,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066497368&doi=10.1145%2f3318299.3318363&partnerID=40&md5=9f00a1a682f33b4084deac3cff16aedd,#d5e8d4,#82b366,,https://app.diagrams.net,
Recognition of Apparent Personality Traits from Text and Handwritten Images,2019,44,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059942751&doi=10.1007%2f978-3-030-05792-3_14&partnerID=40&md5=133b1bfd571ced27721df47a8c966489,#d5e8d4,#82b366,,https://app.diagrams.net,
Mining personality traits from social messages for game recommender systems,2019,45,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057252684&doi=10.1016%2fj.knosys.2018.11.025&partnerID=40&md5=1c0d58d7756bf071a3b710db13076b0d,#d5e8d4,#82b366,"Semantic-enhanced sequential modeling for personality trait recognition from texts,",https://app.diagrams.net,
Predicting Personality Traits from Social Media using Text Semantics,2019,46,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063162767&doi=10.1109%2fICCES.2018.8639408&partnerID=40&md5=3dac36c871836f122ed08a0dac311fb3,#d5e8d4,#82b366,,https://app.diagrams.net,
Personality traits for Egyptian twitter users dataset,2019,47,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068608288&doi=10.1145%2f3328833.3328851&partnerID=40&md5=d744021eaf9620b0fdd243cb7ad80d73,#d5e8d4,#82b366,,https://app.diagrams.net,
Personality Detection from Text using Convolutional Neural Network,2019,48,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078027613&doi=10.1109%2fICASERT.2019.8934548&partnerID=40&md5=46914c1058af9836c1564128fbedc1dd,#d5e8d4,#82b366,,https://app.diagrams.net,
A methodology for creating and validating psychological stories for conveying and measuring psychological traits,2019,49,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063209392&doi=10.1007%2fs11257-019-09219-6&partnerID=40&md5=d1253528f0f5581f53f7d2eed112cd0e,#d5e8d4,#82b366,"Personality expression and recognition in Chinese language usage,",https://app.diagrams.net,
Feature Engineering and Word Embedding Impacts for Automatic Personality Detection on Instant Message,2019,50,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073203261&doi=10.1109%2fICIMTech.2019.8843783&partnerID=40&md5=1de5e8c31b24577dd7fa90beeccd1ecd,#d5e8d4,#82b366,,https://app.diagrams.net,
Clustering based personality prediction on Turkish tweets,2019,51,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078852406&doi=10.1145%2f3341161.3343513&partnerID=40&md5=77f0b49019b87878a08e25e0c0869971,#d5e8d4,#82b366,,https://app.diagrams.net,
Automatic Extraction of Personality from Text: Challenges and Opportunities,2019,52,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081304625&doi=10.1109%2fBigData47090.2019.9005467&partnerID=40&md5=b82ba9c9e801165b9f0ffca74e8c1fee,#d5e8d4,#82b366,,https://app.diagrams.net,
Automatic Text-Based Personality Recognition on Monologues and Multiparty Dialogues Using Attentive Networks and Contextual Embeddings,2020,53,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106561523&partnerID=40&md5=48060ed4f351265c4a2b320cf2c49611,#d5e8d4,#82b366,,https://app.diagrams.net,
An OOV-Aware Curation Process for Psycholinguistic Analysis of Social Media Text - A Hybrid Approach,2020,54,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097844599&doi=10.1007%2f978-3-030-64823-7_11&partnerID=40&md5=ae22250d0a5031acdf5c4084772c90fd,#d5e8d4,#82b366,,https://app.diagrams.net,
Evaluation of the accuracy of personality judgments based on written verbal production [Evaluacija tačnosti procena ličnosti na osnovu pisane verbalne produkcije],2020,55,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095856096&doi=10.19090%2fPP.2020.3.333-348&partnerID=40&md5=eaa7829d3854a6c29fdeb9a0ce427da9,#d5e8d4,#82b366,,https://app.diagrams.net,
BREXIT: Psychometric Profiling the Political Salubrious through Machine Learning: Predicting personality traits of Boris Johnson through Twitter political text,2020,56,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091479623&doi=10.1145%2f3405962.3405981&partnerID=40&md5=5b9b988ec37a4a0af9fe4265c4ecefc5,#d5e8d4,#82b366,,https://app.diagrams.net,
Predicting Personality Using Answers to Open-Ended Interview Questions,2020,57,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087818936&doi=10.1109%2fACCESS.2020.3004002&partnerID=40&md5=aad5b1770d59d9d6431986b310dcce5a,#d5e8d4,#82b366,,https://app.diagrams.net,
Mining micro-influencers from social media posts,2020,58,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083038493&doi=10.1145%2f3341105.3373954&partnerID=40&md5=0bf27a8e3280685becd648fd54eeaa13,#d5e8d4,#82b366,,https://app.diagrams.net,
Personality Assessment Using Social Media for Hiring Candidates,2020,59,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090380040&doi=10.1109%2fCSCITA47329.2020.9137818&partnerID=40&md5=f4834e7e2f1a2416b5303d7dbebf8bb8,#d5e8d4,#82b366,,https://app.diagrams.net,
Multilingual transformer-based personality traits estimation,2020,60,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085080344&doi=10.3390%2finfo11040179&partnerID=40&md5=590d131e1ea07c10f6d5c564ed07dc18,#d5e8d4,#82b366,,https://app.diagrams.net,
Knowledge of words: An interpretable approach for personality recognition from social media,2020,61,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079218602&doi=10.1016%2fj.knosys.2020.105550&partnerID=40&md5=73f1479178d20a8d958b8ec753105bd0,#d5e8d4,#82b366,,https://app.diagrams.net,
Vyaktitv: A Multimodal Peer-to-Peer Hindi Conversations based Dataset for Personality Assessment,2020,62,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097236394&doi=10.1109%2fBigMM50055.2020.00024&partnerID=40&md5=e8e2e1ceb00c3f8b1007c04f82a4c1bd,#d5e8d4,#82b366,,https://app.diagrams.net,
CR-Net: A Deep Classification-Regression Network for Multimodal Apparent Personality Analysis,2020,63,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082835263&doi=10.1007%2fs11263-020-01309-y&partnerID=40&md5=2cc978be6370cf9ea1e7583ecd79ff07,#d5e8d4,#82b366,,https://app.diagrams.net,
Personality Traits Detection in Bangla: A Benchmark Dataset with Comparative Performance Analysis of State-of-the-Art Methods,2020,64,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104510888&doi=10.1109%2fICCIT51783.2020.9392722&partnerID=40&md5=7ea26942b704d789851136d535499da0,#d5e8d4,#82b366,,https://app.diagrams.net,
A Personality Mining System for German Twitter Posts with Global Vectors Word Embedding,2021,65,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120580393&doi=10.1109%2fACCESS.2021.3130937&partnerID=40&md5=853ed69a42802260234f43bfd88eca8f,#d5e8d4,#82b366,,https://app.diagrams.net,
Personality expression and recognition in Chinese language usage,2021,66,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089857530&doi=10.1007%2fs11257-020-09276-2&partnerID=40&md5=7f7be456ccdd7318a2fed224589d8dd5,#d5e8d4,#82b366,,https://app.diagrams.net,
Psychological Human Traits Detection based on Universal Language Modeling,2021,67,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094980668&doi=10.1016%2fj.eij.2020.09.001&partnerID=40&md5=cb2911bd2fe7ec7ee9e9a05cd021a7e8,#d5e8d4,#82b366,,https://app.diagrams.net,
New approach of measuring human personality traits using ontology-based model from social media data,2021,68,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117285343&doi=10.3390%2finfo12100413&partnerID=40&md5=16efb3bbaf126bea2f4be0f73940f888,#d5e8d4,#82b366,,https://app.diagrams.net,
Semantic-enhanced sequential modeling for personality trait recognition from texts,2021,69,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102835904&doi=10.1007%2fs10489-021-02277-7&partnerID=40&md5=835e4199d3d1c337990a8e26729feb5d,#d5e8d4,#82b366,,https://app.diagrams.net,
Big five personality prediction based in Indonesian tweets using machine learning methods,2022,70,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122796837&doi=10.11591%2fijece.v12i2.pp1973-1981&partnerID=40&md5=87f376faaad330a69e7845bbff2e6856,#d5e8d4,#82b366,,https://app.diagrams.net,
My Tweets Bring All the Traits to the Yard: Predicting Personality and Relational Traits in Online Social Networks,2022,71,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131120158&doi=10.1145%2f3523749&partnerID=40&md5=f11a139c4da58bb79e5648cf649304f3,#d5e8d4,#82b366,,https://app.diagrams.net,
Multi-label personality trait identification from text,2022,72,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126330968&doi=10.1007%2fs11042-022-12548-1&partnerID=40&md5=0b985d72d75a1aeabefd636c910c6ad9,#d5e8d4,#82b366,,https://app.diagrams.net,
Regional personality assessment through social media language,2022,73,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116819278&doi=10.1111%2fjopy.12674&partnerID=40&md5=410734d4be978311676aae39a0e193c3,#d5e8d4,#82b366,,https://app.diagrams.net,
Using Natural Language Processing to Identify Effective Influencers,2022,74,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136918195&doi=10.1177%2f14707853221101565&partnerID=40&md5=5aaa9b2fd3b428a630e011bad7212dfc,#d5e8d4,#82b366,,https://app.diagrams.net,